player_id,nome,username,idade,data_nascimento,genero,cidade,estado,pais,plataforma,genero_jogo,nivel_jogador,data_criacao_conta,horas_jogadas,numero_sessoes,quantidade_compras,valor_gasto,ultimo_acesso
1,Hortense Dupré,hortense.dupre1,45,1981-01-11,Feminino,Sérent,Brittany,França,PC,Luta,16,2024-03-30,393.2,290,0,0,2025-09-26
2,Vitor Hugo Nascimento,vitor.hugo.nascimento2,46,1980-02-12,Masculino,Nossa Senhora Aparecida,SE,Brasil,Mobile,MOBA,17,2015-08-08,418.5,184,2,29.8,2026-08-04
3,Matheus Moreira,matheus.moreira3,46,1980-03-20,Masculino,Coxixola,PB,Brasil,Xbox,Aventura,39,2018-10-30,970.9,637,0,0,2026-05-19
4,David Williams,david.williams4,27,1998-11-11,Masculino,Razorback,NSW,Austrália,Xbox,Luta,3,2022-07-04,58.2,96,0,0,2026-08-18
5,João Gabriel Alves,joao.gabriel.alves5,22,2003-10-29,Masculino,André da Rocha,RS,Brasil,PC,Corrida,24,2022-04-19,588.9,393,0,0,2025-12-27
6,Léon Tanguy,leon.tanguy6,34,1992-01-16,Masculino,Juigné-sur-Sarthe,Pays de la Loire,França,PlayStation,RPG,1,2015-01-14,4.4,2,1,19.9,2025-12-19
7,Liz Sampaio,liz.sampaio7,40,1986-05-27,Feminino,Italva,RJ,Brasil,PlayStation,Luta,4,2023-08-20,90.6,264,0,0,2025-11-08
8,Valentin Albers,valentin.albers8,33,1993-02-10,Masculino,Einfeld,SH,Alemanha,Xbox,Corrida,1,2026-03-17,14.2,25,2,14.89,2026-05-22
9,Rubén Prieto,ruben.prieto9,27,1999-03-30,Masculino,Puerto Peñasco,SON,México,PC,MOBA,60,2013-01-20,1492.5,1893,22,558.16,2026-05-22
10,Maurice Briand,maurice.briand10,53,1973-06-25,Masculino,Montmorot,Bourgogne,França,Xbox,Luta,53,2015-03-07,1314.1,1232,0,0,2025-12-06
11,Ana Sophia Vieira,ana.sophia.vieira11,34,1992-06-30,Feminino,Combinado,TO,Brasil,PC,FPS,50,2019-01-19,1228.2,699,0,0,2026-04-28
12,Julio Abrego,julio.abrego12,40,1986-02-11,Masculino,Santa María del Refugio,GUA,México,PlayStation,Esportes,38,2011-03-13,928.4,626,0,0,2026-05-26
13,Rebecca Velasquez,rebecca.velasquez13,33,1993-01-20,Feminino,Narwee,NSW,Austrália,Xbox,Luta,21,2013-09-18,510.2,903,0,0,2026-05-02
14,Noemí Villaseñor,noemi.villasenor14,50,1976-07-13,Feminino,San Nicolás Zoyapetlayoca,PUE,México,PlayStation,RPG,2,2024-11-03,42.0,34,0,0,2025-12-02
15,Harald Dobes,harald.dobes15,43,1983-04-19,Masculino,Freienwill,SH,Alemanha,PC,Estratégia,15,2015-04-28,352.6,360,29,867.37,2026-08-06
16,Olga Nonis,olga.nonis16,20,2006-06-01,Feminino,Ferno,Lombardy,Itália,PC,Estratégia,4,2021-11-26,89.9,34,0,0,2026-02-28
17,Margaret Monnier,margaret.monnier17,38,1988-07-26,Feminino,Villeneuve-la-Rivière,OCC,França,Xbox,Aventura,2,2025-09-27,35.5,30,1,29.9,2026-05-20
18,Blake Swanson,blake.swanson18,44,1982-02-22,Masculino,Caddo Mills,TX,Estados Unidos,PlayStation,Simulação,100,2011-10-22,3740.1,2587,28,1097.38,2026-08-25
19,Leopoldo Flaiano,leopoldo.flaiano19,20,2005-11-25,Masculino,Capraia e Limite,Tuscany,Itália,PC,Estratégia,12,2023-06-13,283.3,207,0,0,2025-12-07
20,Sharon Russo,sharon.russo20,38,1988-07-26,Feminino,Nuuanu - Punchbowl,HI,Estados Unidos,Mobile,MOBA,30,2021-09-09,740.5,303,0,0,2026-01-16
21,Steven Campbell,steven.campbell21,20,2006-08-07,Masculino,Kamerunga,QLD,Austrália,PlayStation,Ação,16,2022-08-22,378.4,184,18,388.47,2025-09-30
22,María Dolores Pallarès,maria.dolores.pallares22,21,2004-11-13,Feminino,Cañamares,Castille-La Mancha,Espanha,Xbox,Survival,2,2021-10-02,39.1,13,1,29.9,2026-07-08
23,Luc Julien,luc.julien23,48,1978-01-19,Masculino,Manthelan,CVL,França,Xbox,FPS,27,2016-06-09,661.1,578,0,0,2025-10-18
24,Edward Rosario,edward.rosario24,38,1988-08-11,Masculino,Alton,TX,Estados Unidos,Xbox,Luta,92,2013-12-26,2287.3,1747,0,0,2026-04-05
25,María Cristina Sosa,maria.cristina.sosa25,43,1983-06-17,Feminino,La Piedad,QUE,México,PC,FPS,18,2023-07-31,439.8,290,20,868.09,2025-12-27
26,Lynn Cain,lynn.cain26,25,2001-01-09,Feminino,Melbourne,FL,Estados Unidos,PC,Ação,85,2014-04-26,2114.6,1020,0,0,2026-08-28
27,Brett Williams,brett.williams27,46,1979-09-07,Masculino,Houghton,ENG,Reino Unido,PlayStation,Aventura,10,2024-08-02,233.5,246,0,0,2026-03-02
