player_id,nome,username,idade,data_nascimento,genero,cidade,estado,pais,plataforma,genero_jogo,nivel_jogador,data_criacao_conta,horas_jogadas,numero_sessoes,quantidade_compras,valor_gasto,ultimo_acesso
1,Jessica Compton,jessica.compton1,21,2005-07-25,Feminino,Atoka,TN,Estados Unidos,Xbox,FPS,1,2025-12-01,11.0,12,1,19.9,2026-01-18
2,Jacqueline White,jacqueline.white2,51,1974-09-30,Feminino,Rosneath,SCT,Reino Unido,PC,Estratégia,90,2013-04-19,2232.8,1227,0,0,2026-07-19
3,Sarah Bryant,sarah.bryant3,43,1982-09-10,Feminino,Lakewood Park,FL,Estados Unidos,PlayStation,Luta,23,2018-06-23,571.8,1166,0,0,2026-02-28
4,Michele Kennedy,michele.kennedy4,24,2001-10-01,Feminino,Putnam Lake,NY,Estados Unidos,Xbox,Survival,14,2021-12-21,339.1,77,1,9.9,2026-01-19
5,Victoire Dumas,victoire.dumas5,33,1992-10-19,Feminino,Cherisy,CVL,França,PC,Aventura,28,2010-07-23,697.1,739,24,548.05,2026-02-22
6,Catherine Brown,catherine.brown6,36,1990-03-07,Feminino,Concord,NC,Estados Unidos,Xbox,Corrida,2,2024-05-11,49.4,28,0,0,2026-08-07
7,Luana Vieira,luana.vieira7,39,1987-04-30,Feminino,Uruçuí,PI,Brasil,PC,Survival,100,2014-09-18,3873.6,1457,24,612.78,2026-04-06
8,Peggy Klingelhöfer,peggy.klingelhofer8,51,1974-12-22,Feminino,Karlshagen,MV,Alemanha,Xbox,FPS,100,2013-02-08,2997.9,2118,16,688.49,2025-11-01
9,John Robinson,john.robinson9,26,1999-09-07,Masculino,Downtown,AB,Canadá,Xbox,Simulação,13,2022-02-16,314.2,168,0,0,2026-03-11
10,Francis Green,francis.green10,38,1988-06-29,Masculino,Cullingworth,ENG,Reino Unido,PC,Esportes,30,2016-09-15,732.9,1349,0,0,2025-09-30
11,Alyssa Brown,alyssa.brown11,36,1989-10-13,Feminino,North Haverhill,NH,Estados Unidos,Mobile,MOBA,16,2022-09-07,392.5,479,0,0,2026-02-21
12,Rémy Lefebvre,remy.lefebvre12,27,1999-08-08,Masculino,Pont-de-Metz,HDF,França,Xbox,Simulação,26,2018-05-23,641.1,592,24,693.05,2026-04-18
13,Lilia Solorzano,lilia.solorzano13,22,2004-06-18,Feminino,Nuevo Tantoán,TAM,México,Xbox,RPG,1,2026-07-12,5.3,2,1,9.9,2026-08-14
14,John Bailey,john.bailey14,38,1987-09-16,Masculino,Brent,AL,Estados Unidos,PlayStation,FPS,22,2017-07-29,528.1,934,0,0,2026-08-13
